DAYS_TO_MATURITY,previous_loan_default_count,Is_Active_loans_Inactive,ARR_STATUS_CURRENT,DAY_SINCEPAYMENT,CURR_BAL,DAYS_RUNNING_SINCE,previous_loans_count,INTEREST_RATE,sector_GENERAL,Default_status
-2.63233220181158,-0.2921768504667343,1.0,0.0,2.796272535874682,-0.78291399519997,2.798491192669453,0.1071924826942044,-1.7622179952626966,0.0,1
-3.490995907195418,0.1370065515510086,1.0,0.0,2.278889654014635,-3.559925569683513,2.2983866501465067,-0.3630896562347456,-1.7622179952626966,0.0,1
-3.0049552307170595,-0.2921768504667343,1.0,0.0,2.989782867174874,-0.0138628842208717,2.286238361664168,-0.5982307256992206,-1.7622179952626966,0.0,1
-3.0049552307170595,-0.2921768504667343,1.0,0.0,3.000852343670157,-0.0583486723127118,2.300411364893564,-0.5982307256992206,-1.7622179952626966,0.0,1
-3.0049552307170595,-0.2921768504667343,1.0,0.0,3.002427261347854,-0.0789459354003289,2.2983866501465067,-0.5982307256992206,-1.7622179952626966,0.0,1
-3.0049552307170595,-0.2921768504667343,1.0,0.0,3.002427261347854,-0.1480979706850611,2.29636193539945,-0.5982307256992206,-1.7622179952626966,0.0,1
-3.0049552307170595,-0.2921768504667343,1.0,0.0,3.000852343670157,-0.0494744711631538,2.300411364893564,-0.5982307256992206,-1.7622179952626966,0.0,1
-3.0049552307170595,-0.2921768504667343,1.0,0.0,3.000852343670157,-0.0053099720842031,2.2983866501465067,-0.5982307256992206,-1.7622179952626966,0.0,1
-3.0049552307170595,-0.2921768504667343,1.0,0.0,1.2504158068507951,-0.1296593832221536,2.239669922481869,-0.5982307256992206,-1.7622179952626966,0.0,1
-3.0049552307170595,-0.2921768504667343,1.0,0.0,3.0110608584877943,0.0065030899449117,2.300411364893564,-0.5982307256992206,-1.7622179952626966,0.0,1
-3.0049552307170595,-0.2921768504667343,1.0,0.0,3.0016400024211616,0.0971746287260343,2.300411364893564,-0.5982307256992206,-1.7622179952626966,0.0,1
-3.0049552307170595,-0.2921768504667343,1.0,0.0,3.000852343670157,0.0438684470041834,2.2943372206523938,-0.5982307256992206,-1.7622179952626966,0.0,1
-3.0049552307170595,-0.2921768504667343,1.0,0.0,2.891477886378933,0.0237242963029163,2.300411364893564,-0.5982307256992206,-1.7622179952626966,0.0,1
-3.0049552307170595,-0.2921768504667343,1.0,0.0,3.002427261347854,0.3069640857243957,2.622341009675541,-0.5982307256992206,-1.7622179952626966,0.0,1
-3.0049552307170595,-0.2921768504667343,1.0,0.0,3.0110608584877943,-0.1995986494538956,2.650687016134331,-0.5982307256992206,-1.7622179952626966,0.0,1
0.208820892202101,-0.7213602524844772,0.0,1.0,-0.7371558564640194,-0.3612003524481229,-0.2183337804446775,-0.8333717951636956,0.9003136560135658,0.0,0
0.3030442835168199,-0.7213602524844772,0.0,1.0,0.907258303001288,2.082712852721978,-0.4936949860443566,-0.8333717951636956,-0.8579619627537772,0.0,0
0.1923393979376788,-0.7213602524844772,0.0,1.0,0.907258303001288,2.316575140757409,-0.3884098191974205,-0.8333717951636956,-0.8579619627537772,0.0,0
0.0347432622880114,-0.2921768504667343,1.0,0.0,-0.5331635037935664,1.704847888833288,-0.5463375694678246,-0.1279485867702706,0.6491314247610883,0.0,0
0.0347432622880114,-0.2921768504667343,1.0,0.0,0.0109067370658654,1.704847888833288,-0.5463375694678246,-0.1279485867702706,0.6491314247610883,0.0,0
0.0209590383114581,-0.2921768504667343,1.0,0.0,-0.7371558564640194,1.936387131824406,-0.5341892809854859,-0.1279485867702706,0.6491314247610883,0.0,1
-0.0003306890661948,-0.2921768504667343,1.0,0.0,-1.0333102120806856,-4.001504519069892,-0.0199117352331441,-0.3630896562347456,0.9003136560135658,0.0,1
0.740570685297885,-0.7213602524844772,0.0,1.0,0.1766430584485295,0.2424618334896555,-0.7488090441734709,-0.8333717951636956,0.046294069755142,0.0,0
0.0435187114172283,0.1370065515510086,1.0,0.0,0.1213687225957094,-1.042244764958089,-0.0745790334036686,0.5774746216231544,1.0510229947650525,0.0,0
-1.9472924180047924,-0.2921768504667343,1.0,0.0,2.2279096166032284,-0.0209318551370696,3.1548409881513906,-0.5982307256992206,-1.7622179952626966,0.0,1
0.0347432622880114,-0.7213602524844772,1.0,0.0,-0.4166334714627947,-1.463598324093607,1.326523571559404,-0.1279485867702706,-1.7622179952626966,0.0,0
0.0521635387780624,-0.7213602524844772,1.0,0.0,0.2261933822712395,-1.0157962840707124,0.6948125704777874,-0.1279485867702706,-1.410562871509228,0.0,0
1.0888801906761194,-0.7213602524844772,0.0,1.0,0.2992399192336533,-0.1267616224614834,-0.3641132422327429,-0.1279485867702706,-1.410562871509228,0.0,0
0.0325058807934646,-0.2921768504667343,1.0,0.0,-0.7371558564640194,-4.014971069573194,0.6786148525013357,0.3423335521586794,0.4029728381336603,0.0,0
0.0347432622880114,-0.2921768504667343,1.0,0.0,-1.4115386152435063,-1.975942416920158,0.6907631409836745,0.5774746216231544,0.4029728381336603,0.0,0
-0.6575754767233014,0.1370065515510086,1.0,0.0,0.5479151301877548,-0.4122041762843194,0.5146129579897621,-0.3630896562347456,0.9003136560135658,0.0,1
-1.2568313467026304,0.1370065515510086,1.0,0.0,0.2416643097661369,-0.4151186145740003,0.9721984908245228,-0.3630896562347456,0.9505501022640612,0.0,1
-2.989301323794668,0.1370065515510086,1.0,0.0,0.2416643097661369,-2.788464873295315,2.3631775220523137,-0.3630896562347456,0.9003136560135658,0.0,1
