sector_AGRICULTURE,sector_EDUCATION,sector_GENERAL,sector_GENERAL COMMERCE,sector_VALUE CHAIN,PRODUCT_GROUP_NAME_Corporate Loans Group,PRODUCT_GROUP_NAME_Current Accounts Group,PRODUCT_GROUP_NAME_HRM Loans Group,PRODUCT_GROUP_NAME_Retail Loans Individual Group,PRODUCT_GROUP_NAME_Small Business Loans Group,FACILITY_TYPE_OVERDRAFT,FACILITY_TYPE_TERM LOAN,ARR_STATUS_CLOSE,ARR_STATUS_CURRENT,ARR_STATUS_EXPIRED,ARR_STATUS_PENDING.CLOSURE,DIRECTORATENAME_COPORATE & INVESTMENT BANKING,DIRECTORATENAME_INSTITUTIONAL BANKING,DIRECTORATENAME_MD,DIRECTORATENAME_RETAIL & CONSUMER BANKING,DIRECTORATENAME_Unknown,Is_Active_loans_Inactive,employment_status_EMPLOYER,employment_status_OTHER,employment_status_SELF-EMPLOYED,employment_status_Unknown,Contract_Amount,CURR_BAL,previous_loans_amount,running_loans_amount,DAYS_TO_MATURITY,DAY_SINCEPAYMENT,INTEREST_RATE,YEAR_LOAN_DURATION,DAYS_RUNNING_SINCE,previous_loans_count,running_loans_count,previous_loan_default_count,Age_at_Inception,Default_status
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.09128125562661275,0.0971746287260343,0.08067350413513157,-1.1026322485068631,-3.0049552307170595,3.0016400024211616,-1.7622179952626966,-0.04393314083976387,2.3004113648935633,-0.5982307256992206,-0.8349877644239653,-0.2921768504667343,-0.14318741385275696,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.22620907800456083,0.04386844700418348,0.025192328420210238,-1.1026322485068631,-3.0049552307170595,3.000852343670157,-1.7622179952626966,-0.04393314083976387,2.2943372206523938,-0.5982307256992206,-0.8349877644239653,-0.2921768504667343,-0.14318741385275696,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.18714873201558765,0.02372429630291637,0.04125361126838008,-1.1026322485068631,-3.0049552307170595,2.8914778863789334,-1.7622179952626966,-0.04393314083976387,2.3004113648935633,-0.5982307256992206,-0.8349877644239653,-0.2921768504667343,-0.14318741385275696,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.21733426107788406,0.3069640857243957,0.20757358603723017,-1.1026322485068631,-3.0049552307170595,3.002427261347854,-1.7622179952626966,0.5718754604226882,2.622341009675541,-0.5982307256992206,-0.8349877644239653,-0.2921768504667343,-0.14318741385275696,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.544772998259143,-0.19959864945389563,-0.10579845261063561,-1.1026322485068631,-3.0049552307170595,3.0110608584877943,-1.7622179952626966,0.5718754604226882,2.650687016134331,-0.5982307256992206,-0.8349877644239653,-0.2921768504667343,-0.14318741385275696,1
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.6002189387040829,-0.3612003524481229,-2.6960217261117436,0.660262491765045,0.20882089220210104,-0.7371558564640194,0.9003136560135658,-0.04393314083976387,-0.21833378044467755,-0.8333717951636956,0.23065248430847185,-0.7213602524844772,-0.14318741385275696,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.641636102578452,2.082712852721978,-2.6960217261117436,1.7215238235546657,0.30304428351681995,0.9072583030012881,-0.8579619627537772,-0.6597417421022159,-0.4936949860443566,-0.8333717951636956,1.296292733040909,-0.7213602524844772,-0.14318741385275696,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0054385326523065,2.316575140757409,-2.6960217261117436,1.7215238235546657,0.19233939793767882,0.9072583030012881,-0.8579619627537772,-0.6597417421022159,-0.3884098191974205,-0.8333717951636956,1.296292733040909,-0.7213602524844772,-0.14318741385275696,0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0538192584977697,1.704847888833288,1.2790600725444432,-1.1026322485068631,0.03474326228801149,-0.5331635037935664,0.6491314247610883,-0.6597417421022159,-0.5463375694678246,-0.1279485867702706,-0.8349877644239653,-0.2921768504667343,2.2410271751988544,0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0538192584977697,1.704847888833288,1.2790600725444432,-1.1026322485068631,0.03474326228801149,0.010906737065865448,0.6491314247610883,-0.04393314083976387,-0.5463375694678246,-0.1279485867702706,-0.8349877644239653,-0.2921768504667343,2.2410271751988544,0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.6490494375947455,1.936387131824406,1.2790600725444432,-1.1026322485068631,0.02095903831145816,-0.7371558564640194,0.6491314247610883,-0.6597417421022159,-0.5341892809854859,-0.1279485867702706,-0.8349877644239653,-0.2921768504667343,2.2410271751988544,1
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.221107601704371,-4.001504519069892,0.149666794193278,-1.1026322485068631,-0.0003306890661948988,-1.0333102120806856,0.9003136560135658,-0.04393314083976387,-0.01991173523314415,-0.36308965623474565,-0.8349877644239653,-0.2921768504667343,-0.14318741385275696,1
